CustomerID,Recency,Frequency,Monetary,Cluster
12346,326,1,77183.6,2
12347,2,7,4310.0,0
12348,75,4,1797.24,2
12349,19,1,1757.55,2
12350,310,1,334.4,1
12352,36,8,2506.04,0
12353,204,1,89.0,1
12354,232,1,1079.4,1
12355,214,1,459.4,1
12356,23,3,2811.43,2
12357,33,1,6207.67,2
12358,2,2,1168.06,2
12359,58,4,6372.58,2
12360,52,3,2662.06,2
12361,287,1,189.9,1
12362,3,10,5226.23,0
12363,110,2,552.0,1
12364,8,4,1313.1,2
12365,291,2,641.38,1
12367,4,1,168.9,2
12370,51,4,3545.69,2
12371,45,2,1887.96,2
12372,72,3,1298.04,2
12373,311,1,364.6,1
12374,25,1,742.9300000000001,2
12375,11,2,457.5,2
12377,315,2,1628.12,1
12378,130,1,4008.62,2
12379,82,2,852.24,2
12380,22,4,2724.81,2
12381,5,5,1845.31,0
12383,185,5,1850.56,2
12384,29,2,585.27,2
12386,338,2,401.9,1
12388,16,6,2780.66,0
12390,80,1,549.84,1
12391,22,1,460.89,2
12393,72,4,1582.6000000000001,2
12394,64,2,1272.48,2
12395,19,12,3018.63,0
12397,36,2,2409.9,2
12398,46,1,1635.6599999999999,2
12399,119,4,1108.65,2
12401,303,1,84.3,1
12402,323,1,225.6,1
12403,50,1,427.7,1
12405,149,1,1710.39,1
12406,22,2,3415.3,2
12407,50,5,1708.1200000000001,2
12408,33,5,2888.55,2
12409,79,3,11072.67,2
12410,309,2,693.3299999999999,1
12412,75,3,1226.88,2
12413,67,3,758.1,2
12414,217,3,562.41,1
12415,24,21,124914.53,0
12417,3,9,3649.1,0
12418,113,1,668.58,1
12420,64,1,600.39,1
12421,16,4,807.04,2
12422,96,3,803.5600000000001,2
12423,1,8,1859.31,0
12424,163,2,1760.96,2
12425,78,1,777.2,1
12426,195,1,582.73,1
12427,22,3,825.8,2
12428,26,9,7956.46,0
12429,9,4,3750.4,0
12430,43,1,256.4,1
12431,36,15,6487.45,0
12432,43,5,5059.32,2
12433,1,7,13375.87,0
12434,85,2,806.14,2
12435,80,2,7829.89,2
12436,100,1,509.01,1
12437,2,18,4951.41,0
12438,14,2,2906.85,2
12441,367,1,173.55,1
12442,3,1,172.06,2
12444,21,5,5005.46,0
12445,22,1,133.4,1
12446,58,1,1002.3100000000001,2
12447,243,1,476.49,1
12448,44,1,449.45,1
12449,22,4,4067.29,2
12450,156,2,197.88,1
12451,11,5,9035.52,0
12452,17,2,430.57,2
12453,134,1,707.09,1
12454,56,1,3528.34,2
12455,73,6,2466.86,2
12456,44,3,3181.04,2
12457,66,7,2363.23,2
12458,71,2,947.4,2
12461,94,2,826.88,1
12462,19,2,1189.59,2
12463,53,4,1344.78,2
12464,10,8,1212.05,0
12465,17,2,742.1899999999999,2
12468,188,2,729.5400000000001,1
12471,2,30,19824.05,0
12472,32,7,6572.11,0
12473,29,5,3938.5499999999997,2
12474,17,18,7375.79,0
12475,54,1,723.38,1
12476,16,11,6816.42,0
12477,23,6,13219.74,0
12478,4,1,680.99,2
12479,11,1,527.2,2
12480,28,4,3281.63,2
12481,23,10,5596.32,0
12483,17,8,2484.98,0
12484,33,6,4541.72,0
12488,10,3,1298.66,2
12489,336,1,334.93,1
12490,5,10,5417.93,0
12491,39,1,460.40000000000003,1
12492,63,2,263.21000000000004,1
12493,166,2,433.74,1
12494,16,7,1246.1000000000001,2
12497,82,1,1043.1,1
12498,21,3,403.70000000000005,2
12500,23,11,4257.82,0
12501,337,1,2169.39,1
12502,96,5,3723.87,2
12504,18,2,482.04999999999995,2
12506,233,1,73.5,1
12507,134,3,1304.81,2
12508,26,2,398.27,2
12509,284,1,176.5,1
12510,143,2,982.5699999999999,1
12512,66,2,138.03,1
12513,113,1,612.29,1
12514,267,1,1017.68,1
12515,353,1,383.7,1
12516,78,2,1312.06,2
12517,28,5,2502.84,2
12518,1,5,2056.89,0
12519,64,1,340.84,1
12520,79,5,2634.26,2
12521,143,1,599.68,1
12522,39,2,192.72,1
12523,19,11,1789.77,0
12524,9,8,4485.72,0
12526,1,3,1316.66,2
12527,82,3,348.71000000000004,1
12528,9,6,1933.48,0
12530,60,4,1662.28,2
12531,15,1,125.22,1
12532,30,1,349.83000000000004,1
12534,131,1,1089.18,1
12535,92,2,716.35,1
12536,43,3,12601.830000000002,2
12538,29,1,363.95,1
12539,22,4,5568.35,0
12540,20,17,13400.24,0
12541,30,3,981.18,2
12544,36,1,372.7,1
12545,75,2,1000.39,2
12546,47,2,1161.5,2
12547,198,2,207.79999999999998,1
12548,166,1,95.19999999999999,1
12550,79,1,964.83,1
12551,358,1,168.0,1
12552,39,2,437.82,2
12553,8,10,3692.28,0
12556,50,2,603.71,2
12557,16,5,11990.960000000001,0
12558,8,1,269.96,2
12559,311,2,561.71,1
12560,5,3,2134.01,2
12561,303,1,238.85,1
12562,8,7,3781.7400000000002,0
12564,261,1,456.9,1
12565,289,1,145.92,1
12566,86,1,351.65,1
12567,23,10,9401.28,0
12569,2,32,4124.69,0
12571,40,2,519.61,2
12572,9,2,1020.42,2
12573,227,1,160.54000000000002,1
12574,316,1,218.45,1
12576,36,5,1315.83,2
12577,35,3,657.8,2
12578,21,2,2794.51,2
12579,78,1,440.42,1
12580,247,1,415.7,1
12581,40,1,197.71,1
12582,239,2,511.36,1
12583,3,15,7281.38,0
12584,4,9,2338.15,0
12585,234,2,2040.1,1
12586,17,1,196.94000000000003,1
12587,8,1,144.0,2
12588,39,1,214.89999999999998,1
12589,29,2,646.68,2
12590,211,2,9864.26,2
12591,317,1,452.84999999999997,1
12592,92,2,437.6,1
12593,109,3,418.09999999999997,1
12594,38,10,3338.2200000000003,0
12596,51,2,618.27,2
12597,19,4,3811.22,2
12598,10,8,3023.08,0
12599,29,7,1032.58,2
12600,29,10,2599.04,0
